UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
reversecowgirl69,@botticellibimbo,2021-10-03T23:48:09.000Z,"reversecowgirl69
@botticellibimbo
·
2021年10月4日",my mom and stepdad almost broke up bc he was buying someone’s nudes from twitter and i couldn’t stop laughing when my mom was like WHO DOES THAT like ma’am…. if u knew,,1,,38,[],https://twitter.com/botticellibimbo/status/1444811542055329792
Elise,@Swopes,2021-10-03T23:36:11.000Z,"Elise
@Swopes
·
2021年10月4日",I loveeeeeee Halloween movies ,✨ 👻,1,,18,[],https://twitter.com/Swopes/status/1444808529219629057
JJ Keyes,@jjkeyes,2021-10-03T23:46:14.000Z,"JJ Keyes
@jjkeyes
·
2021年10月4日","I think I was over eager for opportunities to work as a writer & actor in my 20s & 30s. I wanted to get in the foot in the door so bad & it didn’t do me any good. Now, in my 40s, I’m just doing the work & trying to enjoy myself in the process.",,1,,20,[],https://twitter.com/jjkeyes/status/1444811059492270080
Tom Dale,@tomdale,2021-10-03T22:58:35.000Z,"Tom Dale
@tomdale
·
2021年10月4日","I don’t read “books” anymore, but I am reading a lot of “first three chapters.”",,,,8,[],https://twitter.com/tomdale/status/1444799067075264512
DUBBY,@DubbysBurner,2021-10-03T22:28:26.000Z,"DUBBY
@DubbysBurner
·
2021年10月4日",I can't wait to read @49er__ tweets about how great of a play this is and how only Trey can make this throw under pressure,➡ 🙌,9,1,86,"['https://pbs.twimg.com/profile_images/1604943357750419465/wk5BAmKG_normal.png', 'https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_bigger.png', 'https://pbs.twimg.com/amplify_video_thumb/1444787801086521344/img/agWIcrzr8kHEqd37.jpg']",https://twitter.com/DubbysBurner/status/1444791480908980227
Louis Peitzman,@LouisPeitzman,2021-10-03T23:25:18.000Z,"Louis Peitzman
@LouisPeitzman
·
2021年10月4日","Lots of teens in slasher movies get offed after (or during) sex that looks mediocre, at best. I’m glad that Lynda has an orgasm from “fantastic” sex before she’s murdered. Let’s celebrate that.",,2,,46,[],https://twitter.com/LouisPeitzman/status/1444805792327213059
Rachel Figueroa,@Jewyorican,2021-10-03T22:45:30.000Z,"Rachel Figueroa
@Jewyorican
·
2021年10月4日","X: Mama can you make me spaghetti?
Me: You just ate dinner are you sure you want to eat spaghetti now?
X: I don’t want to eat I want you to make spaghetti just in case.",🐝 🐝 🐝 🌻 🌻 🍄,1,,13,[],https://twitter.com/Jewyorican/status/1444795776098521089
George Santos,@Santos4Congress,2021-10-03T23:25:18.000Z,"George Santos
@Santos4Congress
·
2021年10月4日","A quick correction I’m NOT Hispanic. A lot of people often categorize me as such, for the record I’m Euro African and proud of it. 
Just wanted to put it out there.",,37,105,80,[],https://twitter.com/Santos4Congress/status/1444805792016777216
Danny O'Neil,@dannyoneil,2021-10-03T23:04:56.000Z,"Danny O'Neil
@dannyoneil
·
2021年10月4日","I’m bummed, but only because I won’t get to watch them again tomorrow. I’m disappointed, but not in them. I’m disappointed for them. They really did play better than anyone had any right to expect and I loved watching them.",,4,11,149,[],https://twitter.com/dannyoneil/status/1444800664371089412
Danny O'Neil,@dannyoneil,2021-10-03T23:08:48.000Z,"Danny O'Neil
@dannyoneil
·
2021年10月4日","I believe the future is really bright, and I’ll be pumped, but right now I’m just gonna’ be in my feelings because you only get a few times that a team you cheer for is as special as this one was.
Thank you, guys, for how much you gave us and gave of yourselves.",,2,5,109,[],https://twitter.com/dannyoneil/status/1444801639177719812
Rob Taub,@robmtaub,2021-10-03T23:51:49.000Z,"Rob Taub
@robmtaub
·
2021年10月4日","An army of dirt bikes and ATV’s are flying down Second Avenue with a level of lawlessness that probably didn’t take place in the Wild West. I wish they would drive by Gracie Mansion and visit 
@NYCMayor
 and @NYCFirstLady",,1,3,20,[],https://twitter.com/robmtaub/status/1444812462914740226
Karen Hua,@K_Hua,2021-10-03T23:07:35.000Z,"Karen Hua
@K_Hua
·
2021年10月4日","At this point in my life, I’m pretty positive Marshall’s store layout is witchcraft because I yet again went in with 2 items on my list and came out $301 poorer",,5,,25,[],https://twitter.com/K_Hua/status/1444801334360805378
Roberto Abramowitz,@RobAbramowitz,2021-10-03T23:52:23.000Z,"Roberto Abramowitz
@RobAbramowitz
·
2021年10月4日","Today might have been one of my craziest work days ever with one of the most unusual doubleheader’s I’ve ever called. 
At noon it was the #NYCvNSH #NYCFC soccer game at RBA, & at 4:25pm from my home studio I called the #NFL’s #BALvsDEN for 
@NFLonCBS
.
A two-sport doubleheader!",,1,1,20,[],https://twitter.com/RobAbramowitz/status/1444812605269364737
,,2021-10-04T23:39:36.000Z,,,,,,,[],https://twitter.com/stoolpresidente/status/1445171777747947522
,,2021-10-04T22:02:22.000Z,,,,,,,[],https://twitter.com/chingjuhl/status/1445147309503832067
,,2021-10-04T22:58:03.000Z,,,,,,,['https://pbs.twimg.com/media/FA4-jzcXsAIqVJW?format=jpg&name=medium'],https://twitter.com/liciainbook/status/1445161320177864707
,,2021-10-04T23:52:41.000Z,,,,,,,[],https://twitter.com/kudosdunce/status/1445175068636631040
pj,@pineapplepapi,2021-10-04T23:54:43.000Z,"pj
@pineapplepapi
·
2021年10月5日",I can’t believe I’m gonna be shooting LA Fashion Week ,🥲,3,,19,[],https://twitter.com/pineapplepapi/status/1445175583810494464
Matt Haskell,@matt_haskell7,2021-10-04T23:26:29.000Z,"Matt Haskell
@matt_haskell7
·
2021年10月5日",Fired up to announce that I've accepted a position at the University of Connecticut to serve as the Assistant Director of Athletic Events & Facilities starting this week. Super excited to join the team up in Storrs!,,8,3,114,[],https://twitter.com/matt_haskell7/status/1445168479011758082
,,2021-10-04T22:10:22.000Z,,,,,,,[],https://twitter.com/emilyfoxkaplan/status/1445149323386396680
