UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Regrette Rien,@YaniqueJLambert,2022-01-01T03:28:22.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",This is the first NYE in not even remotely excited about the new year.,,2,2,2,[],https://twitter.com/YaniqueJLambert/status/1477119482120261635
Regrette Rien,@YaniqueJLambert,2022-01-01T02:47:19.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Who remembers...,,,,1,['https://pbs.twimg.com/profile_images/954825681015369728/iGDAdDls_normal.jpg'],https://twitter.com/YaniqueJLambert/status/1477109152069689349
Regrette Rien,@YaniqueJLambert,2022-01-01T02:46:34.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Dem a go road tonight and hide it. Smh,,,,,[],https://twitter.com/YaniqueJLambert/status/1477108961279156229
Regrette Rien,@YaniqueJLambert,2022-01-01T02:03:15.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Access to testing in Jamaica is really elite compared to these first world countries.,,1,5,11,[],https://twitter.com/YaniqueJLambert/status/1477098060031352835
Regrette Rien,@YaniqueJLambert,2022-01-01T01:41:13.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日","My lip swelling again  
@KymJohnson",😬,1,,,[],https://twitter.com/YaniqueJLambert/status/1477092517409665028
Regrette Rien,@YaniqueJLambert,2022-01-01T01:29:38.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日","Mariah Carey get 8:30pm time slot. Big downgrade from 4 years ago. 

She nuh sound ready at all.",,,,2,[],https://twitter.com/YaniqueJLambert/status/1477089602678759426
Regrette Rien,@YaniqueJLambert,2022-01-01T01:25:42.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Feel like I going cry cus my bday might get fuck.,,3,,2,[],https://twitter.com/YaniqueJLambert/status/1477088612659470337
Regrette Rien,@YaniqueJLambert,2022-01-01T01:22:16.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Year 5 of watching the ABC coverage of Times Square ball drop at home.,,,,2,[],https://twitter.com/YaniqueJLambert/status/1477087746003030018
Regrette Rien,@YaniqueJLambert,2022-01-01T00:24:19.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Love this country but every time I try to go there it's some bullshit.,,,,2,[],https://twitter.com/YaniqueJLambert/status/1477073162722582530
Regrette Rien,@YaniqueJLambert,2022-01-01T00:23:51.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Oh baby I thought you died ,🥲,2,,9,"['https://pbs.twimg.com/profile_images/1200555394101383169/cu66aSRp_normal.jpg', 'https://pbs.twimg.com/media/FH9zhFmXEAQI-6Z?format=jpg&name=900x900']",https://twitter.com/YaniqueJLambert/status/1477073044829093890
Regrette Rien,@YaniqueJLambert,2022-01-02T21:27:06.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月3日",Lolol,,3,,2,"['https://pbs.twimg.com/profile_images/1266052551989919745/4D5slyzm_normal.jpg', 'https://pbs.twimg.com/media/FIIGFx2WQAwMW15?format=jpg&name=900x900']",https://twitter.com/YaniqueJLambert/status/1477753339521740807
Regrette Rien,@YaniqueJLambert,2022-01-02T19:28:10.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月3日","You're an embarrassment 
@Giants",,,,,[],https://twitter.com/YaniqueJLambert/status/1477723412332224514
Regrette Rien,@YaniqueJLambert,2022-01-02T19:22:47.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月3日",Views  ,✈,,,8,['https://pbs.twimg.com/ext_tw_video_thumb/1477721808723918851/pu/img/tqMIrn0zeBIHpNuK.jpg'],https://twitter.com/YaniqueJLambert/status/1477722055885955075
Regrette Rien,@YaniqueJLambert,2022-01-02T18:56:27.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月3日","Stop wasting my time 
@Giants",,,,,[],https://twitter.com/YaniqueJLambert/status/1477715426784198658
Regrette Rien,@YaniqueJLambert,2022-01-02T18:35:40.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月3日",Self control has left the building,,1,1,10,['https://pbs.twimg.com/media/FIHhlhfXoAM7OBI?format=jpg&name=900x900'],https://twitter.com/YaniqueJLambert/status/1477710196533174273
